AS번호,접수일시,처리상태,처리완료일,주문번호,고객명,고객연락처,제품명,문제유형,증상설명,처리내용,처리결과,배송비,수리비,부품비,총비용,메모
cmkm5lbx301q5o40s09wj116g,2026-01-20T05:28:26.008Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbx001q3o40sey8wwi0j,2026-01-20T05:28:26.004Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbww01q1o40sm1fy7qat,2026-01-20T05:28:26.000Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbws01pzo40sxbgkoi9c,2026-01-20T05:28:25.996Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbwp01pxo40swn4jx7rs,2026-01-20T05:28:25.993Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbwl01pvo40sh0tk0jd3,2026-01-20T05:28:25.990Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbwi01pto40sowbzmf9x,2026-01-20T05:28:25.986Z,AS,,,,,,OTHER,"","",,0,0,0,0,""
cmkm5lbwe01pro40sp30jru1e,2026-01-20T05:28:25.983Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbwb01ppo40ssutrs45e,2026-01-20T05:28:25.979Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbw801pno40si75mkbcq,2026-01-20T05:28:25.976Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbw401plo40sc4pq9zjd,2026-01-20T05:28:25.973Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbw001pjo40s5r1pm5zd,2026-01-20T05:28:25.969Z,AS,,,,,?2,OTHER,"","",,0,0,0,0,""
cmkm5lbvw01pho40s59xvgda6,2026-01-20T05:28:25.965Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbvt01pfo40swd5ncfdt,2026-01-20T05:28:25.961Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbvp01pdo40sxzllbafz,2026-01-20T05:28:25.957Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbvk01pbo40s68h86f67,2026-01-20T05:28:25.953Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbvh01p9o40srn2864e3,2026-01-20T05:28:25.949Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbvd01p7o40s1yxyimnt,2026-01-20T05:28:25.946Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbva01p5o40s4x1rqipb,2026-01-20T05:28:25.942Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbv601p3o40sdy5dgu6h,2026-01-20T05:28:25.938Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbv201p1o40sx8yg8a6v,2026-01-20T05:28:25.934Z,AS,,,,,,OTHER,"","",,0,0,0,0,""
cmkm5lbuy01ozo40slfgnm82z,2026-01-20T05:28:25.931Z,AS,,,,,?3,OTHER,"","",,0,0,0,0,""
cmkm5lbuv01oxo40sq5fokamw,2026-01-20T05:28:25.927Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbur01ovo40s43vibjbu,2026-01-20T05:28:25.924Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbuo01oto40s8x8x3ayr,2026-01-20T05:28:25.920Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbuk01oro40s9xymel0q,2026-01-20T05:28:25.916Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbuh01opo40slxn0fzsj,2026-01-20T05:28:25.913Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbud01ono40sch4da2sn,2026-01-20T05:28:25.909Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbu901olo40sndfwrlyp,2026-01-20T05:28:25.905Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbu501ojo40sbnipem6v,2026-01-20T05:28:25.902Z,EXCHANGE,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbu201oho40svbx13mag,2026-01-20T05:28:25.898Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbtz01ofo40sn64b5mbz,2026-01-20T05:28:25.895Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbtv01odo40sh6svqhln,2026-01-20T05:28:25.891Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbtr01obo40sfcya6cv1,2026-01-20T05:28:25.887Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbtm01o9o40s2jj8wdd7,2026-01-20T05:28:25.883Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbti01o7o40szpg587ex,2026-01-20T05:28:25.879Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbtf01o5o40sud0jele6,2026-01-20T05:28:25.875Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbtb01o3o40stsvqc8hc,2026-01-20T05:28:25.872Z,AS,,,,,?1+1,OTHER,"","",,0,0,0,0,""
cmkm5lbt701o1o40s4s498e4l,2026-01-20T05:28:25.868Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
